
23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	23℃	35℃	35℃	35℃	35℃	35℃	35℃	35℃	35℃	35℃	35℃	35℃	35℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃	45℃
444	23		444	23	0.935425971	444	23	0.947680018	444	23	0.94809	444	23	0.956848273	444	23	0.948505107	444	23	0.939675148	444	23	0.95051561	444	35	0.941453487	444	35	0.946198835	444	35	0.94321117	444	35	0.94585838	444	45	0.879089797	444	45	0.881834826	444	45		444	45		444	45	0.875617749	444	45	0.874189359
445	23		445	23	0.932943269	445	23	0.947017358	445	23	0.947639893	445	23	0.956861929	445	23	0.948253376	445	23	0.93945132	445	23	0.950376394	445	35	0.941481435	445	35	0.946052768	445	35	0.942947821	445	35	0.945788363	445	45	0.879049087	445	45	0.881686726	445	45		445	45		445	45	0.875523017	445	45	0.874135822
446	23		446	23	0.933501017	446	23	0.946706905	446	23	0.947654202	446	23	0.956581199	446	23	0.947861642	446	23	0.93919917	446	23	0.952755658	446	35	0.941369943	446	35	0.945934891	446	35	0.942933238	446	35	0.94560818	446	45	0.878724978	446	45	0.881497559	446	45		446	45		446	45	0.875305963	446	45	0.873891787
447	23		447	23	0.934156379	447	23	0.946820469	447	23	0.947625965	447	23	0.956398076	447	23	0.947819501	447	23	0.939521052	447	23	0.952754319	447	35	0.941161866	447	35	0.945774647	447	35	0.942829294	447	35	0.945406461	447	45	0.878575979	447	45	0.881403051	447	45		447	45		447	45	0.875129712	447	45	0.87375638
448	23		448	23	0.933500994	448	23	0.946777953	448	23	0.947457553	448	23	0.956791612	448	23	0.948225304	448	23	0.939269304	448	23	0.95162124	448	35	0.941022427	448	35	0.945663182	448	35	0.942669483	448	35	0.94528834	448	45	0.877791981	448	45	0.881403051	448	45		448	45		448	45	0.874899165	448	45	0.873322905
449	23		449	23	0.935425949	449	23	0.946876184	449	23	0.947795498	449	23	0.956931977	449	23	0.948336967	449	23	0.938429027	449	23	0.952894875	449	35	0.941022859	449	35	0.945552339	449	35	0.942655523	449	35	0.945260636	449	45	0.877575275	449	45	0.881403051	449	45		449	45		449	45	0.87460057	449	45	0.873417733
450	23		450	23	0.93534275	450	23	0.947370643	450	23	0.948146294	450	23	0.95648272	450	23	0.947456263	450	23	0.937896986	450	23	0.951202118	450	35	0.940842432	450	35	0.945448395	450	35	0.942468007	450	35	0.945087135	450	45	0.877913357	450	45	0.882401939	450	45		450	45		450	45	0.874627578	450	45	0.873526167
451	23		451	23	0.935594328	451	23	0.947693935	451	23	0.948118461	451	23	0.955907135	451	23	0.946925173	451	23	0.93777081	451	23	0.950908197	451	35	0.940578271	451	35	0.945281495	451	35	0.942224922	451	35	0.94499028	451	45	0.878995159	451	45	0.882806186	451	45		451	45		451	45	0.875468765	451	45	0.873647968
452	23		452	23	0.934100965	452	23	0.948144957	452	23	0.948286514	452	23	0.955710132	452	23	0.946827268	452	23	0.937784413	452	23	0.952166634	452	35	0.940425575	452	35	0.945177119	452	35	0.942481751	452	35	0.944767512	452	45	0.878698024	452	45	0.882725238	452	45		452	45		452	45	0.875346334	452	45	0.87329591
453	23		453	23	0.934631328	453	23	0.948667206	453	23	0.948019598	453	23	0.955653964	453	23	0.946812775	453	23	0.937574924	453	23	0.950879162	453	35	0.940209707	453	35	0.94506587	453	35	0.942391795	453	35	0.944718976	453	45	0.878684634	453	45	0.88267143	453	45		453	45		453	45	0.875807385	453	45	0.873877966
454	23		454	23	0.93460352	454	23	0.946974909	454	23	0.94747119	454	23	0.955668941	454	23	0.946701313	454	23	0.937784659	454	23	0.951466825	454	35	0.940063639	454	35	0.944912714	454	35	0.942426127	454	35	0.944552077	454	45	0.878400437	454	45	0.882549825	454	45		454	45		454	45	0.875617727	454	45	0.873918761
455	23		455	23	0.933249639	455	23	0.947045755	455	23	0.947794646	455	23	0.955921217	455	23	0.946869409	455	23	0.938708651	455	23	0.951439553	455	35	0.939890111	455	35	0.944822974	455	35	0.942030291	455	35	0.944426624	455	45	0.878278888	455	45	0.882441972	455	45		455	45		455	45	0.875577097	455	45	0.873796959
456	23		456	23	0.932454817	456	23	0.946650898	456	23	0.947640095	456	23	0.956763651	456	23	0.947903538	456	23	0.938792857	456	23	0.949732044	456	35	0.939800154	456	35	0.944656291	456	35	0.942308007	456	35	0.944259752	456	45	0.878278586	456	45	0.882212794	456	45		456	45		456	45	0.875346334	456	45	0.873688526
457	23		457	23	0.933152669	457	23	0.948046703	457	23	0.948104802	457	23	0.956959535	457	23	0.947945211	457	23	0.938666681	457	23	0.951411232	457	35	0.939688689	457	35	0.94455186	457	35	0.942440087	457	35	0.944176424	457	45	0.877778569	457	45	0.88199668	457	45		457	45		457	45	0.875143335	457	45	0.873471939
458	23		458	23	0.933947691	458	23	0.948399269	458	23	0.948131963	458	23	0.956735466	458	23	0.947805654	458	23	0.938540283	458	23	0.949676072	458	35	0.939584475	458	35	0.944426895	458	35	0.942148439	458	35	0.943961231	458	45	0.877616029	458	45	0.881727017	458	45		458	45		458	45	0.874885564	458	45	0.873106751
459	23		459	23	0.93401732	459	23	0.949118947	459	23	0.947949601	459	23	0.956454468	459	23	0.94766563	459	23	0.938484644	459	23	0.949507977	459	35	0.939452854	459	35	0.94434335	459	35	0.941954024	459	35	0.943877876	459	45	0.877345589	459	45	0.881686317	459	45		459	45		459	45	0.874695734	459	45	0.87282231
460	23		460	23	0.933278135	460	23	0.947637277	460	23	0.947597728	460	23	0.956595348	460	23	0.947414344	460	23	0.938219718	460	23	0.94941045	460	35	0.939369256	460	35	0.944322058	460	35	0.941620522	460	35	0.943829557	460	45	0.877021071	460	45	0.881605605	460	45		460	45		460	45	0.874438158	460	45	0.872524285
461	23		461	23	0.933487202	461	23	0.947355782	461	23	0.947598132	461	23	0.956749323	461	23	0.947302882	461	23	0.938359362	461	23	0.950151657	461	35	0.939320774	461	35	0.944246252	461	35	0.941314643	461	35	0.943571808	461	45	0.876913063	461	45	0.881618519	461	45		461	45		461	45	0.874356876	461	45	0.872415678
462	23		462	23	0.933194424	462	23	0.947243094	462	23	0.947527955	462	23	0.956819148	462	23	0.947484334	462	23	0.93851301	462	23	0.950963299	462	35	0.939202599	462	35	0.94414853	462	35	0.941682775	462	35	0.943675995	462	45	0.876885657	462	45	0.88147044	462	45		462	45		462	45	0.874275357	462	45	0.872307461
463	23		463	23	0.932998238	463	23	0.947074287	463	23	0.947204566	463	23	0.956580998	463	23	0.947484557	463	23	0.938652587	463	23	0.950194038	463	35	0.93909825	463	35	0.944016639	463	35	0.941453379	463	35	0.943509555	463	45	0.876818208	463	45	0.88134905	463	45		463	45		463	45	0.874221082	463	45	0.872293661
464	23		464	23	0.937700164	464	23	0.946904063	464	23	0.947428801	464	23	0.956651516	464	23	0.947610334	464	23	0.938330772	464	23	0.950725216	464	35	0.938847995	464	35	0.943898762	464	35	0.941161271	464	35	0.943419328	464	45	0.876669383	464	45	0.881267907	464	45		464	45		464	45	0.874207654	464	45	0.872158232
465	23		465	23	0.939179067	465	23	0.947609397	465	23	0.947190212	465	23	0.956468146	465	23	0.947344555	465	23	0.938120122	465	23	0.949326112	465	35	0.938806331	465	35	0.943676455	465	35	0.941106079	465	35	0.943224751	465	45	0.876696379	465	45	0.88102489	465	45		465	45		465	45	0.874072077	465	45	0.871969073
466	23		466	23	0.936988697	466	23	0.947567128	466	23	0.947302778	466	23	0.956173963	466	23	0.947036881	466	23	0.937798485	466	23	0.950236017	466	35	0.938709259	466	35	0.943648291	466	35	0.940793599	466	35	0.943100003	466	45	0.876399223	466	45	0.880728323	466	45		466	45		466	45	0.873949927	466	45	0.871846861
467	23		467	23	0.936835713	467	23	0.947708527	467	23	0.946796825	467	23	0.955837289	467	23	0.946785127	467	23	0.937601906	467	23	0.947759002	467	35	0.938750734	467	35	0.943655406	467	35	0.940605651	467	35	0.942995572	467	45	0.876250182	467	45	0.880566232	467	45		467	45		467	45	0.873678555	467	45	0.871589825
468	23		468	23	0.93754709	468	23	0.946382668	468	23	0.946697649	468	23	0.955878704	468	23	0.946519348	468	23	0.937252148	468	23	0.948612846	468	35	0.938868854	468	35	0.943634331	468	35	0.940508119	468	35	0.942634555	468	45	0.875898753	468	45	0.88048552	468	45		468	45		468	45	0.873244815	468	45	0.87114281
469	23		469	23	0.936207868	469	23	0.944874265	469	23	0.94666986	469	23	0.95596308	469	23	0.946268062	469	23	0.936706013	469	23	0.950333701	469	35	0.939090891	469	35	0.943981847	469	35	0.940807315	469	35	0.94292642	469	45	0.875587603	469	45	0.880282364	469	45		469	45		469	45	0.87316349	469	45	0.870952981
470	23		470	23	0.935970327	470	23	0.946312969	470	23	0.946895037	470	23	0.955724908	470	23	0.945988482	470	23	0.9372383	470	23	0.950235794	470	35	0.938674007	470	35	0.943627432	470	35	0.940633598	470	35	0.942654711	470	45	0.875492986	470	45	0.880188329	470	45		470	45		470	45	0.872309156	470	45	0.870357406
471	23		471	23	0.935984542	471	23	0.946341096	471	23	0.946739836	471	23	0.955963572	471	23	0.946421911	471	23	0.937995041	471	23	0.949424108	471	35	0.938368642	471	35	0.94344687	471	35	0.940522322	471	35	0.942585343	471	45	0.87560164	471	45	0.880039604	471	45		471	45		471	45	0.872607535	471	45	0.870560149
472	23		472	23	0.938746786	472	23	0.947482364	472	23	0.946753719	472	23	0.956525232	472	23	0.947344577	472	23	0.938134595	472	23	0.949060289	472	35	0.938278198	472	35	0.943294119	472	35	0.940508119	472	35	0.942481372	472	45	0.875398929	472	45	0.879904654	472	45		472	45		472	45	0.872553261	472	45	0.870424721
473	23		473	23	0.936388727	473	23	0.945481098	473	23	0.946613544	473	23	0.956693804	473	23	0.947470265	473	23	0.937868374	473	23	0.946400762	473	35	0.938298787	473	35	0.943155167	473	35	0.940438751	473	35	0.942321615	473	45	0.875195614	473	45	0.879662282	473	45		473	45		473	45	0.87236343	473	45	0.870275751
474	23		474	23	0.937351594	474	23	0.946623018	474	23	0.947148047	474	23	0.95637054	474	23	0.947288345	474	23	0.937699961	474	23	0.947157525	474	35	0.938097338	474	35	0.942898094	474	35	0.940390242	474	35	0.9421341	474	45	0.875033441	474	45	0.879513536	474	45		474	45		474	45	0.872254903	474	45	0.870086527
475	23		475	23	0.936723994	475	23	0.946213614	475	23	0.946782202	475	23	0.956076133	475	23	0.947064729	475	23	0.937448235	475	23	0.946288951	475	35	0.937993368	475	35	0.942863302	475	35	0.940188306	475	35	0.942077393	475	45	0.874911612	475	45	0.879297444	475	45		475	45		475	45	0.872038022	475	45	0.869842536
476	23		476	23	0.933402935	476	23	0.945029604	476	23	0.946712496	476	23	0.956062029	476	23	0.946840847	476	23	0.937112124	476	23	0.947003088	476	35	0.938167383	476	35	0.94273831	476	35	0.939771855	476	35	0.94196701	476	45	0.874951934	476	45	0.879068223	476	45		476	45		476	45	0.871739816	476	45	0.869626143
477	23		477	23	0.935998357	477	23	0.943944118	477	23	0.946768544	477	23	0.956089609	477	23	0.946700622	477	23	0.937069686	477	23	0.947913171	477	35	0.937402495	477	35	0.942633879	477	35	0.940244174	477	35	0.941855519	477	45	0.874654821	477	45	0.878919519	477	45		477	45		477	45	0.871522741	477	45	0.869436271
478	23		478	23	0.935231276	478	23	0.946214041	478	23	0.947584047	478	23	0.956089587	478	23	0.946701268	478	23	0.936902122	478	23	0.947661006	478	35	0.937236055	478	35	0.942474095	478	35	0.940098539	478	35	0.941709911	478	45	0.874384425	478	45	0.878662792	478	45		478	45		478	45	0.871210934	478	45	0.869179063
479	23		479	23	0.934198201	479	23	0.945043791	479	23	0.947725321	479	23	0.955836595	479	23	0.946462981	479	23	0.936860622	479	23	0.950445578	479	35	0.937166282	479	35	0.942383678	479	35	0.938882057	479	35	0.941571148	479	45	0.874425373	479	45	0.878568693	479	45		479	45		479	45	0.871251542	479	45	0.869138506
480	23		480	23	0.934826402	480	23	0.946086582	480	23	0.947021284	480	23	0.955626607	480	23	0.946379524	480	23	0.936929618	480	23	0.94945196	480	35	0.937361075	480	35	0.942265531	480	35	0.939166833	480	35	0.941508652	480	45	0.874492411	480	45	0.878325481	480	45		480	45		480	45	0.871170282	480	45	0.868962692
481	23		481	23	0.936375135	481	23	0.943929728	481	23	0.947246932	481	23	0.955570685	481	23	0.946296156	481	23	0.936537622	481	23	0.94973229	481	35	0.937354203	481	35	0.942140539	481	35	0.939069978	481	35	0.94139697	481	45	0.874681775	481	45	0.878325481	481	45		481	45		481	45	0.871034683	481	45	0.868894427
482	23		482	23	0.934101677	482	23	0.944141501	482	23	0.946698366	482	23	0.955205536	482	23	0.946015885	482	23	0.936215762	482	23	0.94865458	482	35	0.937197963	482	35	0.941959922	482	35	0.938944932	482	35	0.941264863	482	45	0.873626905	482	45	0.878379483	482	45		482	45		482	45	0.870790556	482	45	0.868637284
483	23		483	23	0.93560792	483	23	0.944028903	483	23	0.947007828	483	23	0.954938933	483	23	0.945680517	483	23	0.935963589	483	23	0.94767462	483	35	0.936930014	483	35	0.941730499	483	35	0.938910193	483	35	0.941160675	483	45	0.873830242	483	45	0.878284996	483	45		483	45		483	45	0.870885266	483	45	0.868786037
484	23		484	23	0.934017543	484	23	0.94500105	484	23	0.946093461	484	23	0.954826775	484	23	0.945512399	484	23	0.93559909	484	23	0.947982802	484	35	0.937249393	484	35	0.941730526	484	35	0.939049362	484	35	0.941077131	484	45	0.873748735	484	45	0.877961332	484	45		484	45		484	45	0.870844831	484	45	0.868718442
485	23		485	23	0.933933743	485	23	0.944592298	485	23	0.945235591	485	23	0.954798545	485	23	0.945260913	485	23	0.935570902	485	23	0.94630319	485	35	0.936832509	485	35	0.941695734	485	35	0.93872955	485	35	0.940994236	485	45	0.873951403	485	45	0.876989347	485	45		485	45		485	45	0.870681791	485	45	0.868569861
486	23		486	23	0.933194691	486	23	0.944494314	486	23	0.945769624	486	23	0.954615825	486	23	0.945344325	486	23	0.935710993	486	23	0.949340418	486	35	0.936665636	486	35	0.941515118	486	35	0.93886163	486	35	0.94084135	486	45	0.873194357	486	45	0.876719404	486	45		486	45		486	45	0.870383845	486	45	0.86820383
487	23		487	23	0.932371573	487	23	0.944677084	487	23	0.946332566	487	23	0.954643831	487	23	0.945387091	487	23	0.935431124	487	23	0.950012151	487	35	0.936610418	487	35	0.941320487	487	35	0.938437442	487	35	0.940744008	487	45	0.872815716	487	45	0.876625133	487	45		487	45		487	45	0.869420962	487	45	0.86697154
488	23		488	23	0.932915306	488	23	0.943760899	488	23	0.945980851	488	23	0.954447723	488	23	0.945303076	488	23	0.934968994	488	23	0.948822385	488	35	0.936484993	488	35	0.941265079	488	35	0.938333065	488	35	0.94061861	488	45	0.872653802	488	45	0.877084006	488	45		488	45		488	45	0.869421135	488	45	0.867283149
489	23		489	23	0.933306343	489	23	0.943887437	489	23	0.946064552	489	23	0.954250765	489	23	0.94520517	489	23	0.93512329	489	23	0.948626683	489	35	0.936421333	489	35	0.941153858	489	35	0.938611403	489	35	0.940542343	489	45	0.872775178	489	45	0.877151847	489	45		489	45		489	45	0.869312608	489	45	0.867215359
490	23		490	23	0.93273398	490	23	0.944775787	490	23	0.945277285	490	23	0.954194753	490	23	0.945358818	490	23	0.935151031	490	23	0.94849992	490	35	0.936318066	490	35	0.941174663	490	35	0.938694541	490	35	0.940472975	490	45	0.87304579	490	45	0.877057124	490	45		490	45		490	45	0.869678711	490	45	0.867594369
491	23		491	23	0.933752595	491	23	0.943183025	491	23	0.940594368	491	23	0.954278502	491	23	0.945344526	491	23	0.935164634	491	23	0.946736595	491	35	0.935991193	491	35	0.941098233	491	35	0.938375189	491	35	0.940396302	491	45	0.873126413	491	45	0.876733201	491	45		491	45		491	45	0.869638016	491	45	0.867526774
492	23		492	23	0.93139458	492	23	0.949188669	492	23	0.94799199	492	23	0.954278525	492	23	0.945204724	492	23	0.935094276	492	23	0.947772371	492	35	0.936089347	492	35	0.940812726	492	35	0.938757254	492	35	0.9401948	492	45	0.873072312	492	45	0.876530668	492	45		492	45		492	45	0.86950246	492	45	0.867310144
493	23		493	23	0.930990596	493	23	0.949413932	493	23	0.948752096	493	23	0.954068515	493	23	0.94498131	493	23	0.935010963	493	23	0.948204213	493	35	0.935901182	493	35	0.940778394	493	35	0.938590354	493	35	0.940236058	493	45	0.872815694	493	45	0.87557248	493	45		493	45		493	45	0.869271978	493	45	0.867052936
494	23		494	23	0.932455462	494	23	0.948892784	494	23	0.946402743	494	23	0.953998019	494	23	0.94407269	494	23	0.933497481	494	23	0.943336798	494	35	0.935658313	494	35	0.940201698	494	35	0.938479349	494	35	0.939673782	494	45	0.872409712	494	45	0.875383464	494	45		494	45		494	45	0.869190675	494	45	0.866835702
495	23		495	23	0.93599809	495	23	0.948215758	495	23	0.945263851	495	23	0.950854007	495	23	0.944254655	495	23	0.935529625	495	23	0.942944189	495	35	0.934344704	495	35	0.939242721	495	35	0.934483738	495	35	0.938054538	495	45	0.871868897	495	45	0.875761647	495	45		495	45		495	45	0.868593852	495	45	0.866321932
496	23		496	23	0.936375157	496	23	0.947595255	496	23	0.945136706	496	23	0.952186912	496	23	0.944938946	496	23	0.935472847	496	23	0.942889087	496	35	0.934059684	496	35	0.938985838	496	35	0.934170581	496	35	0.937714083	496	45	0.872139272	496	45	0.87589636	496	45		496	45		496	45	0.868526193	496	45	0.866227104
497	23		497	23	0.937519083	497	23	0.947595502	497	23	0.944996307	497	23	0.952944702	497	23	0.945135582	497	23	0.935374837	497	23	0.941922741	497	35	0.933893028	497	35	0.93863145	497	35	0.933962288	497	35	0.937602834	497	45	0.871436543	497	45	0.875626482	497	45		497	45		497	45	0.86836337	497	45	0.865983113
498	23		498	23	0.937142016	498	23	0.947961738	498	23	0.945023871	498	23	0.953198097	498	23	0.945372575	498	23	0.935234992	498	23	0.939585858	498	35	0.933628813	498	35	0.938005786	498	35	0.933809781	498	35	0.937373466	498	45	0.871680655	498	45	0.875464649	498	45		498	45		498	45	0.868390593	498	45	0.866010086
499	23		499	23	0.936919068	499	23	0.948130567	499	23	0.944826931	499	23	0.953070717	499	23	0.946477408	499	23	0.9350532	499	23	0.939040018	499	35	0.933420519	499	35	0.937755801	499	35	0.933663307	499	35	0.937179565	499	45	0.871707392	499	45	0.875019099	499	45		499	45		499	45	0.867943014	499	45	0.865725883
500	23		500	23	0.935203246	500	23	0.946778178	500	23	0.944194709	500	23	0.952720387	500	23	0.946757233	500	23	0.935067495	500	23	0.938284326	500	35	0.933197995	500	35	0.937470781	500	35	0.933524301	500	35	0.936922222	500	45	0.871639685	500	45	0.874641153	500	45		500	45		500	45	0.867712467	500	45	0.865495453
501	23		501	23	0.935524053	501	23	0.946679272	501	23	0.943561343	501	23	0.952959276	501	23	0.946672951	501	23	0.935235215	501	23	0.939683876	501	35	0.933052117	501	35	0.938012657	501	35	0.933434074	501	35	0.936727429	501	45	0.871260807	501	45	0.874236325	501	45		501	45		501	45	0.867699082	501	45	0.865116443
502	23		502	23	0.933919661	502	23	0.946876633	502	23	0.943786722	502	23	0.953086208	502	23	0.946981138	502	23	0.935221345	502	23	0.943126099	502	35	0.932926908	502	35	0.937630349	502	35	0.933267472	502	35	0.936414705	502	45	0.870760552	502	45	0.873723429	502	45		502	45		502	45	0.867454956	502	45	0.864899619
503	23		503	23	0.934101654	503	23	0.947792863	503	23	0.944293639	503	23	0.953478849	503	23	0.946631278	503	23	0.935123312	503	23	0.943546091	503	35	0.932746049	503	35	0.937102433	503	35	0.932961782	503	35	0.936178194	503	45	0.870462793	503	45	0.873480648	503	45		503	45		503	45	0.866899044	503	45	0.864357991
504	23		504	23	0.933752417	504	23	0.947552986	504	23	0.944222744	504	23	0.953773458	504	23	0.946589137	504	23	0.935151009	504	23	0.943602822	504	35	0.9326348	504	35	0.936727186	504	35	0.932815308	504	35	0.936032559	504	45	0.869178496	504	45	0.873912832	504	45		504	45		504	45	0.866410748	504	45	0.863870159
505	23		505	23	0.933557276	505	23	0.947299145	505	23	0.944025624	505	23	0.953815545	505	23	0.947274521	505	23	0.934982395	505	23	0.943573564	505	35	0.932488976	505	35	0.936421577	505	35	0.932683904	505	35	0.935927966	505	45	0.870017285	505	45	0.873696503	505	45		505	45		505	45	0.866004232	505	45	0.86358615
506	23		506	23	0.933319691	506	23	0.946735706	506	23	0.943730652	506	23	0.95394156	506	23	0.94657509	506	23	0.9349549	506	23	0.943014288	506	35	0.932412952	506	35	0.936268664	506	35	0.932600332	506	35	0.935746917	506	45	0.870368542	506	45	0.873440184	506	45		506	45		506	45	0.866234541	506	45	0.863965138
507	23		507	23	0.935705579	507	23	0.94679214	507	23	0.943674604	507	23	0.953871758	507	23	0.94611379	507	23	0.934675209	507	23	0.942664797	507	35	0.932266912	507	35	0.936324289	507	35	0.932614293	507	35	0.93565669	507	45	0.86962465	507	45	0.873278094	507	45		507	45		507	45	0.866329467	507	45	0.86389737
508	23		508	23	0.935370802	508	23	0.945255385	508	23	0.943041911	508	23	0.953632668	508	23	0.945232796	508	23	0.93383453	508	23	0.942706999	508	35	0.932183313	508	35	0.936206141	508	35	0.932468441	508	35	0.935629446	508	45	0.869259572	508	45	0.873197167	508	45		508	45		508	45	0.866180245	508	45	0.863748509
509	23		509	23	0.933571091	509	23	0.946707602	509	23	0.943309051	509	23	0.952073881	509	23	0.943848428	509	23	0.934016367	509	23	0.942791114	509	35	0.931961249	509	35	0.936025525	509	35	0.932183692	509	35	0.93551817	509	45	0.869178733	509	45	0.872508664	509	45		509	45		509	45	0.865990414	509	45	0.863531944
510	23		510	23	0.934617291	510	23	0.945508775	510	23	0.945165616	510	23	0.952874654	510	23	0.94449167	510	23	0.933554416	510	23	0.942538703	510	35	0.93187086	510	35	0.936039025	510	35	0.932239289	510	35	0.935379191	510	45	0.869178496	510	45	0.872495104	510	45		510	45		510	45	0.865800757	510	45	0.863342309
511	23		511	23	0.932636766	511	23	0.944959028	511	23	0.945095439	511	23	0.952369341	511	23	0.943820535	511	23	0.933806633	511	23	0.942594676	511	35	0.931745597	511	35	0.935900316	511	35	0.932065544	511	35	0.935142977	511	45	0.868340396	511	45	0.871739384	511	45		511	45		511	45	0.865082282	511	45	0.862692075
512	23		512	23	0.934812832	512	23	0.946073069	512	23	0.94565726	512	23	0.952411697	512	23	0.944212536	512	23	0.934115069	512	23	0.942481571	512	35	0.931600016	512	35	0.935851537	512	35	0.931884252	512	35	0.934851085	512	45	0.868015856	512	45	0.870065746	512	45		512	45		512	45	0.8653668	512	45	0.862475662
513	23		513	23	0.935719817	513	23	0.946622613	513	23	0.945995003	513	23	0.952846178	513	23	0.944659588	513	23	0.934072877	513	23	0.942398974	513	35	0.93144686	513	35	0.935837577	513	35	0.931530513	513	35	0.93476773	513	45	0.867636805	513	45	0.86982275	513	45		513	45		513	45	0.864539712	513	45	0.861893239
514	23		514	23	0.935579868	514	23	0.945903565	514	23	0.945671591	514	23	0.953000893	514	23	0.94438061	514	23	0.933849049	514	23	0.942286985	514	35	0.93127996	514	35	0.935476073	514	35	0.93133572	514	35	0.9346215	514	45	0.866785293	514	45	0.871807182	514	45		514	45		514	45	0.861637895	514	45	0.860254534
515	23		515	23	0.936542023	515	23	0.946016455	515	23	0.94596699	515	23	0.952888981	515	23	0.945386466	515	23	0.933834039	515	23	0.941461216	515	35	0.931266027	515	35	0.935323593	515	35	0.931564872	515	35	0.934531462	515	45	0.866636036	515	45	0.871901475	515	45		515	45		515	45	0.861678525	515	45	0.860200522
516	23		516	23	0.933040973	516	23	0.946044762	516	23	0.945783462	516	23	0.953099148	516	23	0.945121557	516	23	0.933652292	516	23	0.941685328	516	35	0.931133893	516	35	0.935059432	516	35	0.931571717	516	35	0.934448134	516	45	0.867502016	516	45	0.872157837	516	45		516	45		516	45	0.864430947	516	45	0.861920277
517	23		517	23	0.935147409	517	23	0.945523412	517	23	0.945164764	517	23	0.953225207	517	23	0.945302407	517	23	0.9333724	517	23	0.941069545	517	35	0.931015989	517	35	0.934955245	517	35	0.931169253	517	35	0.934343974	517	45	0.867840141	517	45	0.872117761	517	45		517	45		517	45	0.864390511	517	45	0.862055425
518	23		518	23	0.933543506	518	23	0.944790176	518	23	0.94482738	518	23	0.952678524	518	23	0.944729801	518	23	0.933358105	518	23	0.941139153	518	35	0.930759105	518	35	0.934774656	518	35	0.931537195	518	35	0.934162897	518	45	0.868151054	518	45	0.871982208	518	45		518	45		518	45	0.864824511	518	45	0.862258643
519	23		519	23	0.933292128	519	23	0.943718607	519	23	0.944391604	519	23	0.953071165	519	23	0.944729333	519	23	0.933316784	519	23	0.941573205	519	35	0.930710164	519	35	0.934503596	519	35	0.931280312	519	35	0.934086658	519	45	0.868069763	519	45	0.871280339	519	45		519	45		519	45	0.864729585	519	45	0.862191048
520	23		520	23	0.932218321	520	23	0.943676563	520	23	0.944700886	520	23	0.951598164	520	23	0.943233659	520	23	0.933442535	520	23	0.941741055	520	35	0.930543507	520	35	0.934322952	520	35	0.930981332	520	35	0.933982497	520	45	0.86790718	520	45	0.869080633	520	45		520	45		520	45	0.864485394	520	45	0.862028408
521	23		521	23	0.931436602	521	23	0.945537554	521	23	0.945390569	521	23	0.951737633	521	23	0.943806956	521	23	0.933694507	521	23	0.941755137	521	35	0.93072434	521	35	0.934524428	521	35	0.930967344	521	35	0.933745986	521	45	0.867028499	521	45	0.870349249	521	45		521	45		521	45	0.863807527	521	45	0.861473218
522	23		522	23	0.931339143	522	23	0.944070903	522	23	0.944968676	522	23	0.952046525	522	23	0.943597343	522	23	0.934016814	522	23	0.94154426	522	35	0.930571401	522	35	0.934822948	522	35	0.931259886	522	35	0.934044804	522	45	0.865622179	522	45	0.870173814	522	45		522	45		522	45	0.86075651	522	45	0.859468849
523	23		523	23	0.933291683	523	23	0.944212122	523	23	0.945109098	523	23	0.952369543	523	23	0.945204524	523	23	0.933960751	523	23	0.941600455	523	35	0.930307672	523	35	0.934461472	523	35	0.931085925	523	35	0.933676402	523	45	0.865567625	523	45	0.870403465	523	45		523	45		523	45	0.862926164	523	45	0.859875502
524	23		524	23	0.930823084	524	23	0.94395808	524	23	0.944715016	524	23	0.952341582	524	23	0.944981064	524	23	0.934072609	524	23	0.941152343	524	35	0.930182004	524	35	0.934232752	524	35	0.930675669	524	35	0.93355122	524	45	0.865770983	524	45	0.870281644	524	45		524	45		524	45	0.862831281	524	45	0.860511742
525	23		525	23	0.932957128	525	23	0.943196762	525	23	0.944391425	525	23	0.952621908	525	23	0.944883404	525	23	0.933400119	525	23	0.941069099	525	35	0.930056795	525	35	0.934148775	525	35	0.930870083	525	35	0.933433046	525	45	0.866041574	525	45	0.87021404	525	45		525	45		525	45	0.863156668	525	45	0.860810005
526	23		526	23	0.93333415	526	23	0.943154471	526	23	0.944082345	526	23	0.952158906	526	23	0.943904839	526	23	0.933442111	526	23	0.941181579	526	35	0.9299874	526	35	0.934670469	526	35	0.930682568	526	35	0.933273532	526	45	0.865973867	526	45	0.870227837	526	45		526	45		526	45	0.863102394	526	45	0.860687534
527	23		527	23	0.930376388	527	23	0.942928983	527	23	0.943856742	527	23	0.951906384	527	23	0.944436174	527	23	0.933274569	527	23	0.941363444	527	35	0.929786195	527	35	0.932522659	527	35	0.930828392	527	35	0.933016189	527	45	0.866054943	527	45	0.869849675	527	45		527	45		527	45	0.863061764	527	45	0.860714961
528	23		528	23	0.930000166	528	23	0.943634294	528	23	0.944363838	528	23	0.952074799	528	23	0.944478694	528	23	0.93330298	528	23	0.941671246	528	35	0.929674893	528	35	0.933891648	528	35	0.930501951	528	35	0.93284266	528	45	0.866041358	528	45	0.867082878	528	45		528	45		528	45	0.863265044	528	45	0.860741934
